epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
88,2399.2,0.60811,0.2778,0.04601,0.01318,0.98774,0.97475,0.99396,0.91149,0.49169,0.16964,0.05059,0.00344,0.000198202,0.000198202,0.000198202
89,2423.96,0.61367,0.28469,0.04231,0.01,0.96051,0.99376,0.99356,0.9111,0.491,0.17183,0.05063,0.00321,0.000184055,0.000184055,0.000184055
90,2448.02,0.63057,0.2681,0.04131,0.01461,0.96266,0.99911,0.99355,0.9111,0.48188,0.16809,0.05041,0.00326,0.000169908,0.000169908,0.000169908
91,2482.42,0.51323,0.18626,0.0471,0.00454,0.99587,0.9784,0.99443,0.91056,0.48847,0.16163,0.05025,0.00363,0.000155761,0.000155761,0.000155761
92,2508.31,0.50831,0.19102,0.05096,0.00666,0.99132,0.98901,0.99484,0.90963,0.49118,0.16406,0.05048,0.0035,0.000141614,0.000141614,0.000141614
93,2535.56,0.50002,0.20634,0.05379,0.00435,0.96463,0.99658,0.99405,0.90981,0.49377,0.17818,0.05059,0.00331,0.000127467,0.000127467,0.000127467
94,2585.79,0.4967,0.18016,0.04667,0.00361,0.98928,0.98206,0.99443,0.9111,0.48996,0.16397,0.05053,0.00317,0.00011332,0.00011332,0.00011332
95,2633.26,0.50036,0.19575,0.05429,0.00363,0.99567,0.98069,0.99421,0.90792,0.48863,0.16351,0.05059,0.00316,9.91726e-05,9.91726e-05,9.91726e-05
96,2675.36,0.5169,0.21088,0.04905,0.00516,0.987,0.98723,0.99443,0.91163,0.48805,0.16443,0.05059,0.00311,8.50255e-05,8.50255e-05,8.50255e-05
97,2720.85,0.50147,0.18061,0.05414,0.00844,0.98873,0.98649,0.99443,0.9118,0.48348,0.16605,0.05066,0.00315,7.08784e-05,7.08784e-05,7.08784e-05
98,2763.56,0.49401,0.20389,0.05653,0.00658,0.98153,0.99283,0.99443,0.91141,0.48512,0.16382,0.05068,0.00316,5.67313e-05,5.67313e-05,5.67313e-05
99,2806.56,0.48805,0.1894,0.05377,0.00384,0.9885,0.99799,0.99484,0.9139,0.47837,0.15478,0.05064,0.00324,4.25842e-05,4.25842e-05,4.25842e-05
100,2848.68,0.48987,0.18389,0.05383,0.00497,0.98716,0.99285,0.99484,0.91256,0.48415,0.15706,0.0506,0.00325,2.84371e-05,2.84371e-05,2.84371e-05
